Year,B_000t,C_000t,sst_spawning_period,sst_nursery_feeding_period,sst_overwintering_period,NPGO_spawning_period,NPGO_nursery_feeding_period,NPGO_overwintering_period,NPA_spawning_period,NPA_nursery_feeding_period,NPA_overwintering_period,WP_spawning_period,WP_nursery_feeding_period,WP_overwintering_period,NAO_spawning_period,NAO_nursery_feeding_period,NAO_overwintering_period,SOI_spawning_period,SOI_nursery_feeding_period,SOI_overwintering_period,Nino34_spawning_period,Nino34_nursery_feeding_period,Nino34_overwintering_period,PDO_spawning_period,PDO_nursery_feeding_period,PDO_overwintering_period,NOI_spawning_period,NOI_nursery_feeding_period,NOI_overwintering_period,NPI_spawning_period,NPI_nursery_feeding_period,NPI_overwintering_period,AOI_spawning_period,AOI_nursery_feeding_period,AOI_overwintering_period,AMO_spawning_period,AMO_nursery_feeding_period,AMO_overwintering_period,summer_fishing_moratorium,F
1955,NA,NA,13.97947808,22.06003522,9.990170075,0.095409836,-0.105589049,0.066269703,-0.19,-0.468,-1.0225,0.54,0.378,-0.2925,-0.62,0.078,-0.7,0.733333333,1.42,0.85,25.635,25.12,25.725,-1.843333333,-2.558,-0.49,2.454333333,2.161,3.8315,1015.693333,1015.482,1012.6125,0.056666667,0.0412,-0.93,0.147666667,0.2544,0.019,0,0.001021252
1956,NA,NA,12.99393481,20.63122846,9.729811834,0.191596542,0.205311934,-0.128182016,-0.133333333,-0.324,-1.28,0.64,0.21,-1.4225,0.416666667,-0.098,-0.305,1.133333333,0.88,1.3,26.08416667,25.79,25.5325,-2.023333333,-1.326,-2.2575,1.395,2.79,1.14425,1014.37,1014.982,1012.12,0.267666667,0.0008,-0.80175,-0.094,-0.0894,0.13025,0,0.001021252
1957,NA,NA,12.99393481,20.63122846,9.729811834,-1.153911533,-1.003923476,-1.334225488,0.42,-0.012,-0.3975,-0.34,0.004,-1.6525,-0.34,-0.27,5.55112E-17,-0.1,-0.44,0.45,27.61833333,27.668,26.4375,0.276666667,1.062,-1.25,-1.975333333,-0.7656,0.87,1013.216667,1013.166,1010.1475,-0.496,-0.3964,-0.36575,-0.077,0.1312,-0.05475,0,0.001021252
1958,NA,NA,12.99393481,20.63122846,9.729811834,-0.764587613,-0.597244662,-0.401276963,0.836666667,0.726,0.385,1.436666667,0.458,0.2,-0.416666667,-0.312,-0.86,0.066666667,0.14,-0.6,27.48333333,26.754,28.185,1.276666667,0.716,0.7325,-1.674666667,0.4306,-4.84575,1013.63,1014.582,1007.6325,-0.615,-0.1384,-1.34,0.248,0.1662,0.15675,0,0.001021252
1959,NA,NA,13.97947808,22.06003522,9.990170075,-0.420784993,-0.148407382,-0.31628907,-0.07,0.57,-0.055,-0.58,-1.454,-0.23,0.383333333,0.596,-0.26,0.266666667,0.2,-0.4,26.79833333,26.146,27.085,0.13,0.244,0.7325,-0.364666667,0.7598,0.5055,1015.253333,1013.44,1010.07,-0.085,-0.5162,0.06925,-0.027666667,0.0446,0.093,0,0.001021252
1960,1660.279074,1.699,13.54559688,21.68707726,10.1033977,0.675182413,0.622595308,0.780252985,0.743333333,0.664,0.175,0.046666667,0.27,-0.0875,0.533333333,-0.58,-0.81,0.466666667,0.52,0.525,26.7225,26.5,26.43,0.77,-0.224,0.615,0.600666667,0.7136,0.91225,1015.406667,1014.824,1009.2775,-0.366333333,-0.7498,-1.59075,0.230333333,0.2632,0.13825,0,0.001021252
1961,1868.940523,2.923,13.73446335,22.15124028,9.888278711,1.186403173,0.695927212,1.337031575,0.106666667,-0.112,0.9525,1.093333333,0.986,-0.4875,-0.35,0.328,0.3675,0.4,0.14,-0.1,26.59333333,26.128,26.4875,-0.053333333,-1.106,0.835,1.413666667,1.0232,1.65525,1016.496667,1015.606,1005.5525,0.252333333,0.1826,-0.22175,0.141333333,0.0132,0.09725,0,0.001560277
1962,2036.044908,3.034,13.25328037,21.32616651,9.366108127,-0.504947667,0.102260515,-0.046330193,-1.223333333,0.268,-0.48,0.353333333,0.784,-1.3175,0.35,-0.504,-0.6975,0.666666667,0.48,0.825,26.38583333,26.15,26.23,-1.273333333,-1.18,-1.18,2.417333333,1.4302,1.55075,1017.803333,1014.074,1010.23,0.508,-0.3918,-0.80725,0.003,-0.0012,0.15975,0,0.001488481
1963,2178.278517,7.496,12.71802463,21.69673318,8.960267305,-0.65167789,0.15734112,-0.431055118,-0.453333333,-0.046,-0.12,1.903333333,0.57,-1.8025,0.126666667,0.01,-1.2075,0.233333333,-0.54,0.725,27.27583333,27.498,26.21,-0.676666667,-0.232,-0.175,0.166333333,-1.5946,0.08075,1016.566667,1013.82,1007.22,-0.054,-0.039,-1.25475,-0.02,-0.0986,0.15125,0,0.003436147
1964,2386.041397,16.192,13.91380942,21.84701787,9.734401778,0.46871647,0.81709556,0.564519575,-1.206666667,0.488,0.5325,0.433333333,0.834,-0.105,0.723333333,0.212,-1.375,0.7,0.98,-0.125,26.24666667,25.576,27.2775,-1.326666667,-0.95,0.0975,2.496666667,1.3364,3.35225,1018.02,1014.798,1008.5225,0.659666667,-0.1404,-0.4815,-0.044666667,-0.218,-0.02975,0,0.006786366
1965,2806.099521,27.821,13.75369983,21.81991556,9.797333273,-0.95630995,-0.718945554,-0.767208878,0.083333333,0.046,-0.7525,0.953333333,1.22,-0.91,0.13,-0.028,-0.8325,-0.3,-1.24,0.125,27.53166667,28.034,26.005,-0.4,0.38,-0.645,-0.075333333,-2.2702,1.67725,1015.466667,1014.79,1009.315,0.151,-0.482,-1.07025,-0.118666667,-0.24,-0.15475,0,0.009908789
1966,2687.096417,25.711,13.80556551,22.01676602,9.504909357,-1.437236233,-0.916595194,-0.807524198,-0.196666667,-0.29,-0.36,-0.146666667,0.604,0.1925,0.173333333,-0.522,-0.3,-0.1,0.08,-0.55,27.11166667,26.506,27.8475,-0.236666667,-0.196,-0.3075,-1.063666667,-0.4918,-0.09925,1015.273333,1014.794,1010.6075,-0.101666667,-0.3778,-1.3545,-0.011666667,-0.0282,-0.061,0,0.009568373
1967,1762.595081,19.652,13.80577785,21.90857642,8.650388786,-1.046321343,-0.511805163,-0.752575938,-1.046666667,-0.106,-0.56,-0.09,-0.184,-0.115,0.196666667,0.69,0.3825,0.2,0.22,1.075,26.44333333,26.264,26.13,-1.333333333,-0.752,-0.3375,0.122666667,-0.6994,1.8395,1017.93,1013.224,1009.84,0.824666667,0.3464,0.2925,-0.166333333,-0.1772,0.042,0,0.011109534
1968,1906.683293,27.041,12.98844435,20.7564168,8.778316069,-1.1519685,-0.771684346,-0.564355715,-0.3,0.378,-0.0525,-1.01,0.22,-1.465,-0.836666667,-1.322,-0.3025,0.766666667,0.06,0.325,26.86666667,27.052,25.9125,-0.46,0.26,-0.5175,1.768333333,0.2052,-0.3505,1016.56,1012.828,1008.12,0.169,-1.1424,-0.29225,-0.193,-0.1752,-0.21375,0,0.014199637
1969,1768.286129,31.505,12.5872533,21.01833289,9.206874037,-0.349881424,-0.139867187,-1.22466846,1.226666667,0.49,-0.9275,1.533333333,-0.516,0.275,0.876666667,0.178,-1.335,-0.133333333,-0.52,-0.35,27.49666667,27.138,27.6125,0.08,0.134,-0.365,-1.879333333,-0.68,-2.98725,1012.763333,1013.796,1011.945,-0.21,-0.0062,-2.1115,0.05,-0.0976,0.018,0,0.017748465
1970,1513.121724,28.187,12.54605063,21.40713269,9.140668593,0.211084363,0.21927946,0.050407383,-0.326666667,-0.39,1.0575,0.196666667,0.482,-0.47,0.463333333,-0.282,-0.525,0.433333333,0.8,-0.275,26.43583333,25.726,26.975,-0.023333333,-1.072,1.335,2.246666667,-0.1486,-2.2275,1016.203333,1015.208,1004.565,0.569333333,0.0764,-1.91925,-0.082333333,-0.1958,-0.0305,0,0.018603499
1971,1558.284143,28.626,13.30552868,21.79950558,9.014186394,0.587115293,0.507704274,0.060095624,0.666666667,-0.718,-0.515,0.773333333,0.118,-0.935,-0.436666667,0.512,-0.7325,1,1.06,1.65,25.84083333,25.726,25.295,-1.42,-0.652,-1.24,1.691333333,1.6442,4.33025,1014.486667,1014.744,1010.775,-0.190666667,0.3994,-0.64375,-0.380333333,-0.3386,-0.27725,0,0.018416353
1972,1598.984065,33.997,13.06208905,20.86479305,9.535793359,-0.729839233,-0.665363916,-0.415256098,-0.62,-0.3,-1.0375,1.093333333,-0.028,-0.9325,0.536666667,0.602,0.4775,-0.733333333,-0.9,0.625,27.75,28.182,26.095,-1.593333333,-0.05,-1.63,-0.876666667,-1.513,2.47925,1016.696667,1014.394,1011.8625,0.366,-0.3086,0.16375,-0.440666667,-0.3378,-0.37425,0,0.021308966
1973,1847.837878,37.925,14.21290484,21.94338418,9.783042774,0.239500053,0.217068048,-0.346587207,0.62,-0.716,0.0575,0.233333333,0.346,0.715,-0.196666667,-0.392,0.345,0.533333333,1.3,-0.575,26.16833333,25.02,28.1325,-0.886666667,-0.754,-0.075,1.946333333,1.2794,-2.02325,1015.43,1015.866,1009.4675,-0.174,0.2072,0.94825,-0.215666667,-0.1716,-0.3785,0,0.020516307
1974,1579.907343,29.183,12.87894587,20.94901172,9.179694491,0.022550733,0.104155559,-0.269181764,-0.81,0.602,-0.47,0.013333333,0.17,-1.245,0.043333333,-0.126,0.3725,0.766666667,0.76,2.175,25.90416667,26.038,24.9325,-0.48,0.314,-1.0375,1.948666667,0.9242,1.3295,1015.323333,1013.45,1007.6175,-0.082,-0.3476,-0.296,-0.503,-0.4976,-0.3125,0,0.018440354
1975,1616.623766,29.183,13.51983797,22.10691101,9.529607015,0.607624067,0.868116402,0.76384342,-0.08,-0.776,-0.11,-0.23,0.634,-0.645,-0.986666667,0.544,0.2125,1.033333333,1.78,0.525,25.76083333,25.244,25.995,-1.48,-1.104,-0.445,1.921666667,2.3414,1.983,1016.666667,1015.188,1009.905,-0.176,0.502,0.624,-0.355666667,-0.3106,-0.33325,0,0.018040661
1976,1586.906418,33.33,13.22161585,20.51459157,9.376742837,2.228069,2.08071582,1.2550486,0.136666667,0.444,-0.6575,1.13,0.648,-0.5425,0.673333333,0.08,0.3575,0.333333333,-0.34,1.725,26.75083333,27.2,25.29,-0.9,1.208,-1.1425,-0.717333333,-0.5742,4.49725,1015.19,1012.426,1009.5075,0.276,-0.28,0.89175,-0.479,-0.2918,-0.4235,0,0.020995677
1977,1801.807337,39.358,12.90294582,21.75984808,8.991554167,1.13073806,1.15794347,1.571227975,-0.126666667,0.298,0.975,0.236666667,1.052,-0.07,-0.26,0.018,-0.985,-0.6,-1,0,27.33333333,27.178,27.2525,0.213333333,-0.01,1.3675,-0.065,-0.6558,2.481,1015.866667,1014.476,1005.5225,0.402333333,-0.1444,-1.87675,-0.177666667,-0.183,-0.34725,0,0.021810485
1978,1343.214216,34.965,13.61335884,22.39522513,9.771654273,0.474707757,0.533806064,0.98245075,-0.613333333,-0.08,0.375,1.176666667,0.676,-0.5225,0.43,0.986,-0.46,0.6,0.14,-1.075,26.71166667,26.28,27.1375,0.96,-0.37,0.875,1.288333333,1.3206,-6.613,1016.583333,1014.006,1004.995,-0.091,0.4616,-0.77475,-0.257,-0.2168,-0.167,0,0.026071422
1979,1121.44309,33.706,13.42588229,21.45669101,10.09649299,-0.87962938,-0.857805114,-0.623067325,-0.066666667,1.008,-0.7125,0.76,1.366,0.445,-0.38,0.606,-0.71,0.333333333,0.14,0.15,27.05416667,26.876,26.6875,0.5,0.846,-0.4375,0.324666667,-1.9176,-0.8195,1015.973333,1012.94,1010.38,-0.158,-0.2918,-1.181,-0.145,-0.111,-0.20125,0,0.030116699
1980,1081.961936,40.901,12.99668046,20.84737968,9.4677225,-0.319774766,-0.594200924,-1.329424023,0.273333333,0.268,0.1825,1.953333333,-0.34,-0.2725,-0.193333333,-0.828,-0.0025,-0.2,-0.08,-0.1,27.07666667,26.642,27.1175,0.84,0.624,0.765,0.293666667,-0.0836,-3.98025,1014.896667,1013.67,1006.4925,-0.284333333,-0.4752,-0.7845,0.066666667,-0.0508,-0.082,0,0.037918437
1981,1269.996093,34.166,13.42928086,21.55780778,9.098794086,-0.139409722,-0.150476632,-0.57384678,0.253333333,-0.436,1.0325,-0.57,-0.406,-0.795,0.036666667,-0.548,0.22,0.633333333,0.32,-0.3,26.6225,26.444,26.395,1.64,0.58,1.235,0.981333333,-0.4442,-2.39625,1014.313333,1014.432,1003.62,0.057333333,-0.4156,-0.5375,-0.088,-0.1214,-0.16125,0,0.026954075
1982,1445.478797,42.733,14.49779452,22.26362432,9.707730063,-0.97060283,-0.67998602,-0.293220393,-0.22,0.19,-0.765,0.676666667,0.296,0.01,-0.686666667,0.806,0.3475,-0.4,-1.84,0.65,27.91083333,28.156,26.7675,-0.466666667,0.552,0.3225,-1.924333333,-2.2098,-1.23675,1015.94,1014.736,1011.06,0.021666667,0.275,-0.01275,-0.193666667,-0.3344,-0.06925,0,0.029659837
1983,1454.451086,38.795,14.4811697,22.44718761,9.885260496,-0.513789503,-0.078904032,0.318618735,0.98,0.44,1.4025,-0.063333333,-0.446,-0.165,0.023333333,0.27,0.9475,-0.1,0.14,-2.925,27.38583333,26.188,28.76,1.92,1.574,1.2225,-1.716,-1.1414,-8.95325,1015.106667,1014.158,1002.045,-0.288666667,0.4154,-0.01175,-0.022333333,-0.1564,-0.18325,0,0.026688684
1984,1428.619868,43.498,14.39196771,22.3299711,9.885795683,0.95969617,0.682574538,0.056731513,0.526666667,-0.726,0.71,-0.613333333,-0.084,-0.96,-0.053333333,0.224,0.575,0.066666667,0.14,0.225,26.41416667,26.268,26.195,0.833333333,0.518,1.5625,1.496,-0.0658,1.12325,1015.326667,1013.276,1006.595,0.067333333,-0.2328,-0.3995,-0.224,-0.3018,-0.0885,0,0.030628824
1985,1338.48045,56.609,14.30276572,22.21275459,9.886330869,0.143626072,-0.793540182,0.185747555,-0.33,-0.874,-0.3525,0.186666667,-0.146,0.17,-0.323333333,0.09,-0.475,0.4,0.06,0.4,26.32416667,26.288,25.79,0.043333333,0.41,0.51,0.491,0.0854,2.5915,1016.263333,1015.922,1010.4975,-0.042333333,-0.092,-0.81225,-0.297,-0.253,-0.348,0,0.042465696
1986,1186.130506,54.843,14.09071846,21.64104829,9.058916715,-0.710347237,-0.704585178,-1.091176358,0.073333333,-0.296,0.93,0.08,-0.166,-1.1125,0.493333333,0.35,0.51,0.366666667,-0.24,0.175,27.13916667,27.366,26.25,1.113333333,1.01,1.2225,0.280333333,0.6682,-2.841,1015.74,1014.218,1002.8625,0.335,0.2988,-0.87225,-0.28,-0.3002,-0.3205,0,0.046429671
1987,1018.155461,61.047,13.73396749,21.81835342,9.588910577,0.379837773,0.315738064,0.320846483,0.33,-0.104,1.0475,1.326666667,0.526,0.4975,0.386666667,-0.242,-0.1875,-1.266666667,-0.74,-1.15,28.1725,28.22,27.8875,1.496666667,2.036,1.78,-1.589666667,-1.5322,-2.58875,1014.253333,1014.024,1004.4875,0.000666667,-0.3262,-1.07675,0.091,0.1366,-0.234,0,0.059816476
